region,n_obs,n_heatwave_days,hw_coef,hw_se,hw_rr,interaction_sum,interaction_se,p50,p99
350036,5458,463,-0.015172316152631846,856585.9852091434,0.9849422035282722,-0.3337909553577097,1317573.0802293736,23.89483642578125,30.01497314453125
350037,5451,461,-0.08471414775603575,,0.9187748807291489,-1.8637112506344677,2066711.5298489924,22.877408027648926,28.85095375061035
350038,5458,475,-0.04003976051003841,,0.9607512384336281,-0.8808747312210065,,22.4962158203125,28.625385017395033
350039,5457,462,-0.03384020062198052,1567897.1166414472,0.9667259745045247,-0.7444844136836327,,21.053665161132812,26.857523193359366
350040,5457,467,-0.047669569071299565,,0.9534487839994412,-1.0487305195684755,,22.799835205078125,29.111049766540518
350041,5453,455,-0.06462223061759335,,0.9374215256470487,-1.4216890735877574,,20.2242431640625,25.604392089843746
350042,5395,464,-0.07135158478483435,,0.9311344618617896,-1.56973486526759,,22.975833892822266,29.097223663330084
350043,5409,456,-0.04756865961583117,1323398.3295950629,0.953545000851565,-1.0465105115486013,1192046.8001247253,22.48732566833496,28.263581829071043
350044,5425,465,-0.0853291950602004,192305.8714160894,0.9182099644585451,-1.877242291325611,,22.773468017578125,28.30092992782593
350045,5290,449,0.08250598713476781,,1.0860051754789364,1.8151317169651473,,22.855560302734375,28.932833862304676
350046,5266,445,0.0004243696492302563,1979116.1729561887,1.0004244597067686,0.009336132283018606,4650238.372088319,22.6068115234375,28.52513431549073
350047,5241,445,0.017621468769883634,795294.0154090355,1.0177776428408742,0.38767231293740956,610258.5839880015,22.089019775390625,27.430249404907233
350048,4881,402,-0.08883022257318479,,0.9150009068875388,-1.9542648966099807,,21.50201416015625,27.103657226562493
350049,5458,452,0.08503159728809274,104672.50155810392,1.0887514677486938,1.8706951403375376,,20.53534507751465,26.153225898742676
350050,5451,448,-0.019353712375892965,,0.9808323683310483,-0.42578167226961205,1418448.420060923,20.23707103729248,25.45385730743408
350051,5250,464,17.081970144954237,,26218351.040771786,375.80334320437794,,22.458345413208008,27.03265953063965
350052,5407,463,0.0027336943343070404,,1.0027374342838469,0.060141275354699486,1409963.5694119274,20.594818115234375,25.99834808349609
350053,4923,407,-0.018019193754604697,929533.1472967993,0.9821421811813763,-0.3964222626013709,3158516.169708909,20.455102920532227,25.656622848510732
410001,5458,463,-0.051478512286994786,,0.9498240592897154,-1.1325272703132092,,18.644044876098633,25.21658515930176
410002,5298,461,-21.750809730052985,2104227.4972214513,3.5788488552343095e-10,-478.5178140557372,,21.62603759765625,27.672963752746583
410003,4888,414,0.09717366096819804,114580307.24506226,1.1020517403762997,2.1378205413006404,,17.90777015686035,24.023952102661134
410004,5379,464,0.0561140719927592,,1.0577183328931465,1.234509583841149,1602123.4909368514,18.628719329833984,24.166759757995614
410005,3567,288,-0.04882285610616451,,0.952349817712041,-1.0741028343359762,1129969.9866472797,20.01882553100586,25.869196472167967
410006,5437,473,-0.02899137214409361,,0.9714248457440415,-0.6378101871697158,,21.652986526489258,27.616618728637697
410007,5338,454,-0.054290343975835376,,0.9471570652273832,-1.1943875674671984,,23.00347900390625,29.990391616821288
410008,5350,452,-0.01661030176167496,1755767.0044353139,0.9835268886589492,-0.3654266387568169,2783416.7674878463,23.031837463378906,29.182814025878905
410009,5270,454,0.02604023089618492,,1.026382239920181,0.572885079716988,,21.235179901123047,27.757992553710938
410010,5211,452,0.027925832558718486,2376814.2144494327,1.028319413773321,0.6143683162912206,,19.083781242370605,24.968086986541746
410011,3943,314,-0.024513385481448706,,0.9757846274839617,-0.5392944805916229,,20.535587310791016,26.313700447082518
410012,3461,287,0.0597356767790783,,1.0615559155795586,1.314184889140067,552656.4761185212,21.265411376953125,27.685501403808594
410013,3749,305,-0.03327016968067482,,0.9672771953132885,-0.731943732974802,,23.443806648254395,29.909693183898927
410014,5457,460,-0.02946436617004741,1142225.5084674177,0.9709654762434206,-0.6482160557405077,1140483.7305767778,23.141669273376465,29.091406192779534
410015,5408,470,-0.046559276372916944,314697.36230534065,0.9545079791220927,-1.0243040802041952,2932918.726039621,22.064401626586914,28.056694793701173
410016,5389,459,0.021575123815112663,,1.0218095496858093,0.4746527239324955,,23.83401107788086,29.97649080276489
410017,5142,441,0.07201326259380413,,1.0746695968756357,1.5842917770640486,,24.0032958984375,29.998750762939455
