age,qx,dx,lx,Lx,Tx,ex,year
33,1.74172898310989,166.953504341844,95855.0417205244,95771.5649683535,4411429.50582236,46.0218829040246,2023
34,1.79174155098869,171.448323591612,95688.0882161825,95602.3640543867,4315657.94085401,45.1013080238775,2023
35,1.8586301308257,177.53010489959,95516.6398925909,95427.8748401411,4220055.57679962,44.1813654829682,2023
36,1.9425796930722,185.203818629147,95339.1097876913,95246.5078783768,4124627.70195948,43.262704163533,2023
37,2.04310887606041,194.409789877202,95153.9059690622,95056.7010741236,4029381.1940811,42.345935808365,2023
38,2.15921759517687,205.038214979242,94959.496179185,94856.9770716954,3934324.49300698,41.4316066460911,2023
39,2.28941567171035,216.93234102767,94754.4579642058,94645.9917936919,3839467.51593528,40.5201781364806,2023
40,2.43174103901694,229.89078078499,94537.5256231781,94422.5802327856,3744821.52414159,39.6120112035539,2023
41,2.5837826887265,243.67043432052,94307.6348423931,94185.7996252328,3650398.94390881,38.7073533336866,2023
42,2.74401565610986,258.112991011512,94063.9644080726,93934.9079125668,3556213.14428357,37.8063285622946,2023
43,2.91153466903613,273.118988559218,93805.8514170611,93669.2919227814,3462278.23637101,36.9089793874127,2023
44,3.08793009384728,288.822539225745,93532.7324285018,93388.321158889,3368608.94444823,36.0152949345648,2023
45,3.27663522632046,305.526279783066,93243.9098892761,93091.1467493846,3275220.62328934,35.1253033809773,2023
46,3.48279546970166,323.685381396528,92938.383609493,92776.5409187948,3182129.47653995,34.2391308408221,2023
47,3.71295005049656,343.873748462735,92614.6982280965,92442.7613538651,3089352.93562116,33.3570480142637,2023
48,3.97245443109305,366.541645564721,92270.8244796338,92087.5536568514,2996910.17426729,32.4794992476606,2023
49,4.26593857960515,392.058025772814,91904.282834069,91708.2538211826,2904822.62061044,31.6070430129467,2023
50,4.5956577578691,420.558865880099,91512.2248082962,91301.9453753562,2813114.36678926,30.7403122662824,2023
51,4.9618092779451,451.979473216546,91091.6659424161,90865.6762058079,2721812.4214139,29.8799280181625,2023
52,5.36330065527131,486.12788983385,90639.6864691996,90396.6225242827,2630946.74520809,29.0264325451095,2023
53,5.7975831575863,522.672752816201,90153.5585793657,89892.2222029576,2540550.12268381,28.1802533667849,2023
